年月日,open,high,low,close,adj close,volume,MA3,MA5,MA5volume,MA20,MA10,adj close-MA5 distance,adj close-MA10 distance,adj close-MA20 distance,adj close-MA3 distance,MA20-MA10 distance,MA20-MA5 distance,MA10-MA5 distance,MA10-MA3 distance,MA20-MA3 distance,MA5-MA3 distance,Total Shares,Number of Shareholders,NoS Change,Shares per Shareholders,SpS Change,>400 Shares Held,>400 Holding Percentage,FHHP Change,>400 NoS,400-600 NoS,600-800 NoS,800-1000 NoS,>1000 NoS,>1000 Holding Percentage,OTHP Change,Closing Price,Price Change Percentage
2023-10-12,14.649999618530272,14.850000381469728,14.5,14.600000381469728,14.600000381469728,502000.0,14.633333524068195,14.68000011444092,635095.4,15.035000133514403,14.855000019073486,-0.0799997329711921,-0.2549996376037597,-0.4349997520446784,-0.0333331425984706,0.1800001144409186,0.3550000190734863,0.1749999046325676,0.2216664950052891,0.4016666094462078,0.0466665903727214,167042.0,19468.0,-67.0,8.58,0.0299999999999993,89194.0,53.4,0.1400000000000005,35.0,6.0,5.0,5.0,19.0,46.86,0.6099999999999994,14.75,-0.0166666666666666
2023-10-13,14.550000190734863,14.649999618530272,14.399999618530272,14.399999618530272,14.399999618530272,698664.0,14.516666730244957,14.620000076293945,612828.2,15.037500095367433,14.78499994277954,-0.2200004577636711,-0.3850003242492672,-0.6375004768371575,-0.1166671117146815,0.2525001525878902,0.4175000190734863,0.164999866485596,0.2683332125345856,0.5208333651224759,0.1033333460489895,167042.0,19434.0,-34.0,8.6,0.0199999999999995,88943.0,53.25,-0.1499999999999985,35.0,6.0,6.0,5.0,18.0,46.25,-0.6099999999999994,14.4,-0.023728813559322
2023-10-16,14.350000381469728,14.5,14.25,14.300000190734863,14.300000190734863,545341.0,14.43333339691162,14.520000076293943,636768.8,14.985000085830688,14.719999980926511,-0.2199998855590816,-0.4199997901916497,-0.6849998950958245,-0.1333332061767578,0.2650001049041748,0.4650000095367428,0.199999904632568,0.2866665840148918,0.5516666889190667,0.0866666793823238,167042.0,19434.0,-34.0,8.6,0.0199999999999995,88943.0,53.25,-0.1499999999999985,35.0,6.0,6.0,5.0,18.0,46.25,-0.6099999999999994,14.4,-0.023728813559322
2023-10-17,14.449999809265137,14.449999809265137,14.149999618530272,14.199999809265137,14.199999809265137,570004.0,14.299999872843424,14.410000038146972,614531.4,14.94000005722046,14.639999961853029,-0.2100002288818352,-0.4400001525878902,-0.7400002479553223,-0.1000000635782871,0.300000095367432,0.530000019073487,0.229999923706055,0.3400000890096031,0.6400001843770351,0.110000165303548,167042.0,19434.0,-34.0,8.6,0.0199999999999995,88943.0,53.25,-0.1499999999999985,35.0,6.0,6.0,5.0,18.0,46.25,-0.6099999999999994,14.4,-0.023728813559322
2023-10-18,14.25,14.300000190734863,14.0,14.0,14.0,547000.0,14.166666666666666,14.3,572601.8,14.897500038146973,14.525,-0.3000000000000007,-0.5250000000000004,-0.8975000381469727,-0.166666666666666,0.3725000381469723,0.597500038146972,0.2249999999999996,0.3583333333333343,0.7308333714803066,0.1333333333333346,167042.0,19434.0,-34.0,8.6,0.0199999999999995,88943.0,53.25,-0.1499999999999985,35.0,6.0,6.0,5.0,18.0,46.25,-0.6099999999999994,14.4,-0.023728813559322
2023-10-19,13.899999618530272,14.300000190734863,13.899999618530272,14.100000381469728,14.100000381469728,594530.0,14.100000063578287,14.2,591107.8,14.860000038146971,14.44000005722046,-0.0999996185302727,-0.3399996757507324,-0.7599996566772464,3.178914393942023e-07,0.419999980926514,0.6600000381469737,0.2400000572204597,0.3399999936421718,0.7599999745686858,0.0999999364217121,167042.0,19434.0,-34.0,8.6,0.0199999999999995,88943.0,53.25,-0.1499999999999985,35.0,6.0,6.0,5.0,18.0,46.25,-0.6099999999999994,14.4,-0.023728813559322
2023-10-20,14.149999618530272,14.149999618530272,13.800000190734863,14.0,14.0,763036.0,14.033333460489908,14.120000076293945,603982.2,14.772500038146973,14.370000076293945,-0.1200000762939446,-0.3700000762939446,-0.7725000381469727,-0.0333334604899082,0.402499961853028,0.652499961853028,0.25,0.3366666158040363,0.7391665776570644,0.0866666158040363,167042.0,19391.0,-43.0,8.61,0.0099999999999997,88927.0,53.24,-0.009999999999998,35.0,6.0,6.0,5.0,18.0,46.24,-0.009999999999998,14.0,-0.0277777777777778
2023-10-23,14.0,14.600000381469728,14.0,14.149999618530272,14.149999618530272,1159010.0,14.083333333333334,14.089999961853028,726716.0,14.7125,14.305000019073486,0.0599996566772453,-0.1550004005432121,-0.5625003814697269,0.0666662851969395,0.4074999809265147,0.6225000381469723,0.2150000572204575,0.2216666857401517,0.6291666666666664,0.0066666285196941,167042.0,19391.0,-43.0,8.61,0.0099999999999997,88927.0,53.24,-0.009999999999998,35.0,6.0,6.0,5.0,18.0,46.24,-0.009999999999998,14.0,-0.0277777777777778
2023-10-24,14.149999618530272,14.399999618530272,14.149999618530272,14.399999618530272,14.399999618530272,613210.0,14.183333079020182,14.129999923706055,735357.2,14.647499990463256,14.269999980926514,0.269999694824218,0.1299996376037597,-0.2475003719329827,0.2166665395100917,0.3775000095367424,0.5175000667572007,0.1400000572204582,0.0866669019063319,0.4641669114430744,-0.0533331553141263,167042.0,19391.0,-43.0,8.61,0.0099999999999997,88927.0,53.24,-0.009999999999998,35.0,6.0,6.0,5.0,18.0,46.24,-0.009999999999998,14.0,-0.0277777777777778
2023-10-25,14.449999809265137,14.5,14.300000190734863,14.300000190734863,14.300000190734863,316918.0,14.28333314259847,14.189999961853028,689340.8,14.584999990463256,14.244999980926512,0.1100002288818355,0.0550002098083499,-0.2849997997283928,0.0166670481363926,0.3400000095367428,0.3950000286102284,0.0550000190734856,-0.0383331616719573,0.3016668478647855,-0.0933331807454429,167042.0,19391.0,-43.0,8.61,0.0099999999999997,88927.0,53.24,-0.009999999999998,35.0,6.0,6.0,5.0,18.0,46.24,-0.009999999999998,14.0,-0.0277777777777778
