Date,Total Shares,Number of Shareholders,NoS Change,Shares per Shareholders,SpS Change,>400 Shares Held,>400 Holding Percentage,FHHP Change,>400 NoS,400-600 NoS,600-800 NoS,800-1000 NoS,>1000 NoS,>1000 Holding Percentage,OTHP Change,Closing Price,Price Change Percentage
2021-11-12,6125027.0,339953.0,1660.0,18.02,-0.08999999999999986,4476738.0,73.09,-0.11999999999999034,764.0,201.0,111.0,64.0,388.0,69.27,-0.15000000000000568,48.7,0.011422637590861979
2021-11-19,6125027.0,341491.0,1538.0,17.94,-0.0799999999999983,4475595.0,73.07,-0.020000000000010232,752.0,190.0,112.0,63.0,387.0,69.34,0.07000000000000739,48.3,-0.00821355236139642
2021-11-26,6125027.0,344728.0,3237.0,17.77,-0.1700000000000017,4451599.0,72.68,-0.38999999999998636,750.0,191.0,107.0,64.0,388.0,68.98,-0.35999999999999943,46.5,-0.03726708074534156
2021-12-03,6125027.0,349443.0,4715.0,17.53,-0.23999999999999844,4428563.0,72.3,-0.38000000000000966,740.0,187.0,105.0,69.0,379.0,68.58,-0.4000000000000057,46.4,-0.0021505376344086325
2021-12-10,6125234.0,350478.0,1035.0,17.48,-0.05000000000000071,4424719.0,72.24,-0.060000000000002274,737.0,186.0,102.0,69.0,380.0,68.56,-0.01999999999999602,47.3,0.0193965517241379
2021-12-17,6125234.0,350510.0,32.0,17.48,0.0,4423602.0,72.22,-0.01999999999999602,736.0,185.0,106.0,64.0,381.0,68.58,0.01999999999999602,47.45,0.0031712473572939894
2021-12-24,6125234.0,350317.0,-193.0,17.48,0.0,4428690.0,72.3,0.0799999999999983,738.0,191.0,104.0,67.0,376.0,68.6,0.01999999999999602,47.9,0.009483667017913503
2021-12-30,6125234.0,349159.0,-1158.0,17.54,0.05999999999999872,4433518.0,72.38,0.0799999999999983,737.0,190.0,102.0,68.0,377.0,68.69,0.09000000000000341,48.0,0.00208768267223385
2022-01-07,6125234.0,350265.0,1106.0,17.49,-0.05000000000000071,4427421.0,72.28,-0.09999999999999432,739.0,190.0,102.0,72.0,375.0,68.54,-0.14999999999999147,47.45,-0.011458333333333274
2022-01-14,6125234.0,351490.0,1225.0,17.43,-0.05999999999999872,4419382.0,72.15,-0.12999999999999545,734.0,189.0,104.0,68.0,373.0,68.44,-0.10000000000000853,47.6,0.003161222339304501
2022-01-21,6125234.0,352228.0,738.0,17.39,-0.03999999999999915,4414911.0,72.08,-0.07000000000000739,737.0,191.0,99.0,70.0,377.0,68.38,-0.060000000000002274,47.4,-0.004201680672268967
2022-01-26,6125234.0,352990.0,762.0,17.35,-0.03999999999999915,4407899.0,71.96,-0.12000000000000455,734.0,190.0,101.0,66.0,377.0,68.3,-0.0799999999999983,46.85,-0.0116033755274261
2022-02-11,6125234.0,354680.0,1690.0,17.27,-0.08000000000000185,4400808.0,71.85,-0.10999999999999943,729.0,186.0,100.0,65.0,378.0,68.25,-0.04999999999999716,47.55,0.01494130202774804
2022-02-18,6125234.0,356534.0,1854.0,17.18,-0.08999999999999986,4394912.0,71.75,-0.09999999999999432,723.0,184.0,98.0,68.0,373.0,68.15,-0.09999999999999432,47.45,-0.0021030494216612897
2022-02-25,6125234.0,358257.0,1723.0,17.1,-0.0799999999999983,4393863.0,71.73,-0.01999999999999602,725.0,186.0,100.0,67.0,372.0,68.11,-0.04000000000000625,47.35,-0.002107481559536384
2022-03-04,6125234.0,358617.0,360.0,17.08,-0.020000000000003126,4400071.0,71.84,0.10999999999999943,728.0,189.0,97.0,70.0,372.0,68.18,0.07000000000000739,47.65,0.006335797254487796
2022-03-11,6125234.0,361130.0,2513.0,16.96,-0.11999999999999744,4393446.0,71.73,-0.10999999999999943,731.0,190.0,103.0,67.0,371.0,68.04,-0.14000000000000057,47.45,-0.004197271773347235
2022-03-18,6125234.0,362009.0,879.0,16.92,-0.03999999999999915,4388378.0,71.64,-0.09000000000000341,734.0,194.0,103.0,63.0,374.0,67.98,-0.060000000000002274,48.95,0.031612223393045306
2022-03-25,6125234.0,359579.0,-2430.0,17.03,0.10999999999999943,4410759.0,72.01,0.37000000000000455,738.0,193.0,106.0,66.0,373.0,68.28,0.29999999999999716,49.7,0.015321756894790602
2022-04-01,6125234.0,357492.0,-2087.0,17.13,0.09999999999999787,4421355.0,72.18,0.1700000000000017,741.0,198.0,105.0,64.0,374.0,68.44,0.1599999999999966,49.75,0.0010060362173037658
